Item,Topic,Condensed official requirement,Planned location,Current status,Action before submission,Source URL
1,Title,"Identify prediction-model study, target population, and outcome",Title,DRAFTED,Keep validation terminology exact,https://www.tripod-statement.org/wp-content/uploads/2019/12/TRIPODAI_checklist.pdf
2,Abstract,Address TRIPOD+AI for Abstracts,Abstract,DRAFTED,Add registration/repository line if applicable,https://www.tripod-statement.org/wp-content/uploads/2019/12/TRIPODAI-for-Abstracts.pdf
3a,Background,Healthcare context and rationale including existing models,Introduction I1-I3,DRAFTED,Convert citation keys to numbered references,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
3b,Intended use,"Target population, care-pathway purpose, intended users",Introduction I4/Discussion,PARTIAL,State intended ICU clinician use and non-deployment status,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
3c,Health inequalities,Describe known inequalities relevant to target population,Introduction/Discussion,OPEN,Add bounded statement or state not specifically evaluated,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
4,Objectives,Specify development/evaluation objectives,Introduction I4,DRAFTED,Use development + IECV wording,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
5a,Data sources,Describe data and representativeness separately for development/evaluation,Methods data source,DRAFTED,"Clarify same database, held-out hospitals",https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
5b,Dates,Report accrual and follow-up dates,Methods data source,DRAFTED,State eICU 2014-2015 and 72h horizon,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
6a,Setting,Report setting and number/location of centers,Methods participants,DRAFTED,United States; 198 hospitals in final cohort,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
6b,Eligibility,Describe participant criteria,Methods participants,DRAFTED,Add full flow diagram,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
6c,Treatments,Describe relevant treatment handling,Methods,PARTIAL,"Clarify treatments were predictors/context, not assigned interventions",https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
7,Data preparation,Preprocessing and quality checks,Methods predictors,DRAFTED,Add full supplement dictionary,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
8a,Outcome,"Define outcome, horizon, assessment, rationale",Methods outcome,DRAFTED,State creatinine-only limitation,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
8b,Outcome assessors,Report qualifications when subjective,Methods outcome,NOT APPLICABLE,State algorithmic outcome; no subjective assessor,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
8c,Outcome blinding,Report blinding actions,Methods outcome,PARTIAL,State deterministic label generation independent of predictions,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
